Quarter,PartyName,Representative,Ticker,TransactionType,TradeAmount_UpperRange_$,TradeAmount_UpperRange,PercentChange,TransactionDate
2025-Q1,Democrats,Susie Lee,FLL,sale,"$50,000.00",50000.0,0.7042302393543312,2025-03-12
2025-Q1,Democrats,Mikie Sherrill,UBS,sale,"$500,000.00",500000.0,5.283463496153768,2025-03-07
2025-Q1,Democrats,William R. Keating,BJ,sale,"$15,000.00",15000.0,-10.588933604764057,2025-03-03
2025-Q1,Democrats,Josh Gottheimer,GS,sale,"$15,000.00",15000.0,8.040605617716997,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,RVTY,sale,"$50,000.00",50000.0,3.3582455813290237,2025-02-28
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,7.491022211562159,2025-02-28
2025-Q1,Democrats,Josh Gottheimer,XYZ,sale,"$15,000.00",15000.0,12.336563904362768,2025-02-27
2025-Q1,Democrats,Josh Gottheimer,FNA,sale,"$15,000.00",15000.0,0.0768066707391927,2025-02-27
2025-Q1,Democrats,Josh Gottheimer,KKR,sale,"$15,000.00",15000.0,12.459970823405234,2025-02-27
2025-Q1,Democrats,Josh Gottheimer,BX,sale,"$15,000.00",15000.0,9.642320126001415,2025-02-27
2025-Q1,Democrats,Gilbert Cisneros,AKAM,sale,"$15,000.00",15000.0,-4.403475026967056,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,LUV,sale,"$15,000.00",15000.0,-12.27379691320232,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,UNH,sale,"$50,000.00",50000.0,-11.465405117234337,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,WBA,sale,"$15,000.00",15000.0,1.238941070439481,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,KKR,sale,"$15,000.00",15000.0,9.931033781205102,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,F,sale,"$15,000.00",15000.0,-4.651158336247619,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,BX,sale,"$15,000.00",15000.0,8.763735607334084,2025-02-26
2025-Q1,Democrats,Greg Landsman,NVDA,sale,"$15,000.00",15000.0,14.270142889057944,2025-02-26
2025-Q1,Democrats,Greg Landsman,COST,sale,"$15,000.00",15000.0,10.607158387896332,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,CDNS,sale,"$15,000.00",15000.0,-4.555954664807984,2025-02-26
2025-Q1,Democrats,Greg Landsman,PH,sale,"$15,000.00",15000.0,5.428793134229504,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,ANSS,sale,"$15,000.00",15000.0,2.082448486859183,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,DHR,sale,"$15,000.00",15000.0,-0.0190380752789176,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,PCG,sale,"$15,000.00",15000.0,-7.053677456163725,2025-02-26
2025-Q1,Democrats,Greg Landsman,AMZN,sale,"$15,000.00",15000.0,6.318043024474547,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,GM,sale,"$15,000.00",15000.0,3.250241939744713,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,ALGN,sale,"$15,000.00",15000.0,11.572205596072186,2025-02-26
2025-Q1,Democrats,Gilbert Cisneros,CMG,sale,"$15,000.00",15000.0,3.340930383513209,2025-02-26
2025-Q1,Democrats,Josh Gottheimer,VRT,sale,"$15,000.00",15000.0,14.210590868362027,2025-02-25
2025-Q1,Democrats,Julie Johnson,NSC,sale,"$15,000.00",15000.0,3.952792151540356,2025-02-25
2025-Q1,Democrats,Josh Gottheimer,AAPL,sale,"$15,000.00",15000.0,8.60653541935537,2025-02-24
2025-Q1,Democrats,Gilbert Cisneros,BSX,sale,"$15,000.00",15000.0,3.309349590639988,2025-02-24
2025-Q1,Democrats,Julie Johnson,PNC,sale,"$15,000.00",15000.0,7.335031016990737,2025-02-24
2025-Q1,Democrats,Julie Johnson,BLK,sale,"$15,000.00",15000.0,0.2179911073927181,2025-02-24
2025-Q1,Democrats,Josh Gottheimer,HD,sale,"$15,000.00",15000.0,5.454188321130615,2025-02-24
2025-Q1,Democrats,Susie Lee,FLL,sale,"$50,000.00",50000.0,21.3754660019545,2025-02-24
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$15,000.00",15000.0,4.389127013961394,2025-02-24
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,7.432609521819983,2025-02-22
2025-Q1,Democrats,April Mcclain Delaney,TDY,sale,"$50,000.00",50000.0,-3.0409576346920373,2025-02-22
2025-Q1,Democrats,April Mcclain Delaney,CACI,sale,"$15,000.00",15000.0,-14.659055513009756,2025-02-22
2025-Q1,Democrats,Josh Gottheimer,PAYX,sale,"$15,000.00",15000.0,-1.1727823155452757,2025-02-21
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,8.200628531422891,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,NTDOY,sale,"$15,000.00",15000.0,4.098794842361099,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,IFNNY,sale,"$15,000.00",15000.0,14.173224429231546,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,SCHW,sale,"$15,000.00",15000.0,2.9149889644094644,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,AAPL,sale,"$15,000.00",15000.0,8.985562561066953,2025-02-21
2025-Q1,Democrats,Susie Lee,FLL,sale,"$50,000.00",50000.0,21.811457700929136,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$15,000.00",15000.0,6.412040542589001,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,CSCO,sale,"$15,000.00",15000.0,5.07111744561078,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,SPOT,sale,"$15,000.00",15000.0,8.823487097898523,2025-02-21
2025-Q1,Democrats,Josh Gottheimer,DASTY,sale,"$15,000.00",15000.0,4.02797444723232,2025-02-21
2025-Q1,Democrats,Gilbert Cisneros,ICFI,sale,"$15,000.00",15000.0,15.654732282704432,2025-02-20
2025-Q1,Democrats,Josh Gottheimer,LLY,sale,"$15,000.00",15000.0,4.142654993005217,2025-02-19
2025-Q1,Democrats,Josh Gottheimer,ICFI,sale,"$15,000.00",15000.0,16.821435337263456,2025-02-19
2025-Q1,Democrats,Greg Landsman,BLK,sale,"$15,000.00",15000.0,-0.4213815390531307,2025-02-18
2025-Q1,Democrats,April Mcclain Delaney,CACI,sale,"$15,000.00",15000.0,-10.523527304167288,2025-02-18
2025-Q1,Democrats,April Mcclain Delaney,AOS,sale,"$50,000.00",50000.0,-1.2715773513919546,2025-02-18
2025-Q1,Democrats,Jake Auchincloss,STT,sale,"$50,000.00",50000.0,7.730976522603777,2025-02-18
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,12.972555594568416,2025-02-17
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,12.972555594568416,2025-02-16
2025-Q1,Democrats,April Mcclain Delaney,TPX,sale,"$15,000.00",15000.0,12.972555594568416,2025-02-15
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$5,000,000.00",5000000.0,4.028262787792972,2025-02-14
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$500,000.00",500000.0,4.028262787792972,2025-02-14
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$5,000,000.00",5000000.0,4.028262787792972,2025-02-14
2025-Q1,Democrats,Julie Johnson,CB,sale,"$15,000.00",15000.0,-11.594854016481502,2025-02-14
2025-Q1,Democrats,April Mcclain Delaney,LYV,sale,"$15,000.00",15000.0,15.84756609777716,2025-02-14
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$1,000,000.00",1000000.0,4.028262787792972,2025-02-14
2025-Q1,Democrats,Josh Gottheimer,TSLA,sale,"$15,000.00",15000.0,24.26099257362148,2025-02-14
2025-Q1,Democrats,Josh Gottheimer,DHI,sale,"$15,000.00",15000.0,-0.6733186842982569,2025-02-13
2025-Q1,Democrats,Susie Lee,FLL,sale,"$50,000.00",50000.0,22.52747271941277,2025-02-13
2025-Q1,Democrats,Jared Moskowitz,WST,sale,"$15,000.00",15000.0,7.291666275560067,2025-02-13
2025-Q1,Democrats,Josh Gottheimer,TSLA,sale,"$15,000.00",15000.0,20.831882642663043,2025-02-13
2025-Q1,Democrats,Josh Gottheimer,PYPL,sale,"$15,000.00",15000.0,9.833706777713298,2025-02-13
2025-Q1,Democrats,Julie Johnson,AES,sale,"$15,000.00",15000.0,-23.19127965511205,2025-02-12
2025-Q1,Democrats,Julie Johnson,EL,sale,"$15,000.00",15000.0,3.8961879627386895,2025-02-12
2025-Q1,Democrats,Julie Johnson,REGN,sale,"$15,000.00",15000.0,3.532477584410587,2025-02-12
2025-Q1,Democrats,Julie Johnson,TSLA,sale,"$50,000.00",50000.0,17.218281244537053,2025-02-12
2025-Q1,Democrats,Julie Johnson,MKTX,sale,"$15,000.00",15000.0,-13.33554281340685,2025-02-12
2025-Q1,Democrats,Julie Johnson,HII,sale,"$15,000.00",15000.0,-23.171644746152637,2025-02-12
2025-Q1,Democrats,Julie Johnson,ENPH,sale,"$15,000.00",15000.0,0.4754113369300717,2025-02-12
2025-Q1,Democrats,Julie Johnson,ALB,sale,"$15,000.00",15000.0,0.7257104850829184,2025-02-12
2025-Q1,Democrats,Julie Johnson,WBA,sale,"$15,000.00",15000.0,-19.103521704538664,2025-02-12
2025-Q1,Democrats,Julie Johnson,JNPR,sale,"$15,000.00",15000.0,-0.918538920732426,2025-02-12
2025-Q1,Democrats,Julie Johnson,PFE,sale,"$15,000.00",15000.0,1.8445813257390715,2025-02-12
2025-Q1,Democrats,Julie Johnson,PYPL,sale,"$15,000.00",15000.0,11.508065989971143,2025-02-11
2025-Q1,Democrats,Julie Johnson,TFC,sale,"$15,000.00",15000.0,10.879919574528865,2025-02-11
2025-Q1,Democrats,Julie Johnson,CACI,sale,"$15,000.00",15000.0,1.704535663065394,2025-02-11
2025-Q1,Democrats,Julie Johnson,ZBH,sale,"$15,000.00",15000.0,-12.566500670089518,2025-02-11
2025-Q1,Democrats,Tina Smith,PEP,sale,"$250,000.00",250000.0,4.587727214950205,2025-02-11
2025-Q1,Democrats,Julie Johnson,DOX,sale,"$15,000.00",15000.0,-7.802244593596207,2025-02-11
2025-Q1,Democrats,Julie Johnson,TSLA,sale,"$15,000.00",15000.0,21.015033393715427,2025-02-11
2025-Q1,Democrats,Tina Smith,GIS,sale,"$250,000.00",250000.0,2.862068702434672,2025-02-11
2025-Q1,Democrats,Ron Wyden,LLY,sale,"$100,000.00",100000.0,-6.225594698714201,2025-02-10
2025-Q1,Democrats,April Mcclain Delaney,BRO,sale,"$15,000.00",15000.0,-13.428706282107624,2025-02-10
2025-Q1,Democrats,April Mcclain Delaney,CLH,sale,"$15,000.00",15000.0,15.377436998656318,2025-02-10
2025-Q1,Democrats,Josh Gottheimer,XNGSY,sale,"$15,000.00",15000.0,-29.23955385736252,2025-02-10
2025-Q1,Democrats,April Mcclain Delaney,TRMB,sale,"$15,000.00",15000.0,9.06901897480167,2025-02-10
2025-Q1,Democrats,April Mcclain Delaney,CLH,sale,"$15,000.00",15000.0,15.862973588640864,2025-02-07
2025-Q1,Democrats,Josh Gottheimer,ABEV,sale,"$15,000.00",15000.0,-26.735000562134942,2025-02-07
2025-Q1,Democrats,Josh Gottheimer,XNGSY,sale,"$15,000.00",15000.0,-27.065426835389893,2025-02-07
2025-Q1,Democrats,Ron Wyden,IRBT,sale,"$15,000.00",15000.0,-61.623618184000016,2025-02-06
2025-Q1,Democrats,Josh Gottheimer,ABEV,sale,"$15,000.00",15000.0,-26.735000562134942,2025-02-06
2025-Q1,Democrats,April Mcclain Delaney,BRO,sale,"$15,000.00",15000.0,-14.506661165749854,2025-02-06
2025-Q1,Democrats,Josh Gottheimer,PYPL,sale,"$15,000.00",15000.0,13.579316834065551,2025-02-06
2025-Q1,Democrats,Debbie Wasserman Schultz,HURC,sale,"$15,000.00",15000.0,29.1835825203586,2025-02-06
2025-Q1,Democrats,Ron Wyden,SOLV,sale,"$15,000.00",15000.0,0.5191684975892557,2025-02-06
2025-Q1,Democrats,Gerald E. Connolly,SAIC,sale,"$15,000.00",15000.0,-2.26834533432639,2025-02-05
2025-Q1,Democrats,April Mcclain Delaney,BRO,sale,"$15,000.00",15000.0,-15.377398985187355,2025-02-05
2025-Q1,Democrats,Julie Johnson,MCHP,sale,"$15,000.00",15000.0,1.213797539371593,2025-02-05
2025-Q1,Democrats,Gerald E. Connolly,LDOS,sale,"$15,000.00",15000.0,5.223397098391311,2025-02-05
2025-Q1,Democrats,Cleo Fields,NVDA,sale,"$1,000,000.00",1000000.0,8.475485414556584,2025-02-05
2025-Q1,Democrats,Gerald E. Connolly,D,sale,"$15,000.00",15000.0,-0.9559341576637996,2025-02-05
2025-Q1,Democrats,Josh Gottheimer,TDG,sale,"$15,000.00",15000.0,-10.43511982068384,2025-02-04
2025-Q1,Democrats,Gilbert Cisneros,ICFI,sale,"$15,000.00",15000.0,25.81313506430386,2025-02-03
2025-Q1,Democrats,Josh Gottheimer,AAPL,sale,"$15,000.00",15000.0,2.562670409491408,2025-02-03
2025-Q1,Democrats,Josh Gottheimer,ICFI,sale,"$15,000.00",15000.0,27.8062316991573,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,ANET,sale,"$15,000.00",15000.0,31.57712474833411,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$15,000.00",15000.0,6.591454603566971,2025-01-31
2025-Q1,Democrats,Josh Gottheimer,TT,sale,"$15,000.00",15000.0,4.520537511542557,2025-01-30
2025-Q1,Democrats,Gilbert Cisneros,AVGO,sale,"$15,000.00",15000.0,21.07314356293044,2025-01-30
2025-Q1,Democrats,Josh Gottheimer,UBER,sale,"$15,000.00",15000.0,-10.412975281438,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,PWR,sale,"$15,000.00",15000.0,13.599998344809322,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,ETN,sale,"$15,000.00",15000.0,10.395533122134172,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,ISRG,sale,"$15,000.00",15000.0,11.067919153290145,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,AVGO,sale,"$15,000.00",15000.0,17.395878404934304,2025-01-29
2025-Q1,Democrats,Josh Gottheimer,NVDA,sale,"$15,000.00",15000.0,11.904942032913596,2025-01-29
2025-Q1,Democrats,Julie Johnson,PEP,sale,"$15,000.00",15000.0,2.047806595180058,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,AVGO,sale,"$15,000.00",15000.0,17.066275515002662,2025-01-28
2025-Q1,Democrats,Julie Johnson,ALE,sale,"$15,000.00",15000.0,-1.5223257718494323,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,ANET,sale,"$15,000.00",15000.0,24.814319550175185,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,TSM,sale,"$15,000.00",15000.0,13.674667155869502,2025-01-28
2025-Q1,Democrats,Julie Johnson,DELL,sale,"$15,000.00",15000.0,6.751175419882307,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,NVDA,sale,"$15,000.00",15000.0,8.513056779802895,2025-01-28
2025-Q1,Democrats,Julie Johnson,INTU,sale,"$15,000.00",15000.0,-1.0975637884678833,2025-01-28
2025-Q1,Democrats,Gilbert Cisneros,LRCX,sale,"$50,000.00",50000.0,0.0988301637790828,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,ORCL,sale,"$15,000.00",15000.0,10.558933759032843,2025-01-28
2025-Q1,Democrats,Josh Gottheimer,MRK,sale,"$50,000.00",50000.0,8.561751128405781,2025-01-27
2025-Q1,Democrats,Josh Gottheimer,MELI,sale,"$15,000.00",15000.0,-16.43223167195756,2025-01-27
2025-Q1,Democrats,Julie Johnson,PPG,sale,"$15,000.00",15000.0,11.671404912159275,2025-01-27
2025-Q1,Democrats,Josh Gottheimer,FICO,sale,"$15,000.00",15000.0,-3.8989583358736137,2025-01-27
2025-Q1,Democrats,Gilbert Cisneros,JNJ,sale,"$15,000.00",15000.0,-12.005861176235095,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,PCG,sale,"$15,000.00",15000.0,-5.929580313806553,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,PFE,sale,"$15,000.00",15000.0,3.88163032710662,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,MCK,sale,"$15,000.00",15000.0,-11.428446922363625,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,MRK,sale,"$15,000.00",15000.0,8.712907067666878,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,ABNB,sale,"$15,000.00",15000.0,5.248472251292153,2025-01-24
2025-Q1,Democrats,William R. Keating,LRCX,sale,"$15,000.00",15000.0,8.156949071814545,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,MDLZ,sale,"$15,000.00",15000.0,-18.71262623186006,2025-01-24
2025-Q1,Democrats,Josh Gottheimer,REGN,sale,"$15,000.00",15000.0,7.563507322906893,2025-01-24
2025-Q1,Democrats,Julie Johnson,CB,sale,"$15,000.00",15000.0,-11.548952775967752,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,D,sale,"$15,000.00",15000.0,-4.003659519686541,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,BA,sale,"$15,000.00",15000.0,-1.767045801336115,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,SJM,sale,"$15,000.00",15000.0,-15.458789097698324,2025-01-24
2025-Q1,Democrats,Josh Gottheimer,ITCI,sale,"$15,000.00",15000.0,-3.577046510157712,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,CI,sale,"$15,000.00",15000.0,-10.88529587928898,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,EIX,sale,"$15,000.00",15000.0,0.1568493393387224,2025-01-24
2025-Q1,Democrats,Julie Johnson,MS,sale,"$15,000.00",15000.0,12.221137162551734,2025-01-24
2025-Q1,Democrats,Gilbert Cisneros,DG,sale,"$15,000.00",15000.0,-22.160195983655253,2025-01-24
2025-Q1,Democrats,Josh Gottheimer,ETN,sale,"$15,000.00",15000.0,23.486955261169083,2025-01-23
2025-Q1,Democrats,Josh Gottheimer,TT,sale,"$15,000.00",15000.0,13.25023810111222,2025-01-23
2025-Q1,Democrats,Josh Gottheimer,UBER,sale,"$15,000.00",15000.0,-10.739648372935648,2025-01-23
2025-Q1,Democrats,Josh Gottheimer,NFLX,sale,"$15,000.00",15000.0,2.1352121647845816,2025-01-22
2025-Q1,Democrats,Josh Gottheimer,ORCL,sale,"$15,000.00",15000.0,23.878647088524005,2025-01-22
2025-Q1,Democrats,Gilbert Cisneros,INTA,sale,"$15,000.00",15000.0,12.327401918024355,2025-01-22
2025-Q1,Democrats,Josh Gottheimer,PWR,sale,"$15,000.00",15000.0,26.12173771512681,2025-01-21
2025-Q1,Democrats,Josh Gottheimer,ISRG,sale,"$15,000.00",15000.0,15.082508846939527,2025-01-21
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$15,000.00",15000.0,9.027628351265436,2025-01-21
2025-Q1,Democrats,Josh Gottheimer,ORCL,sale,"$15,000.00",15000.0,11.039236514869009,2025-01-21
2025-Q1,Democrats,Julie Johnson,WMT,sale,"$15,000.00",15000.0,6.739278460809506,2025-01-17
2025-Q1,Democrats,Josh Gottheimer,NVDA,sale,"$15,000.00",15000.0,18.47227510768409,2025-01-17
2025-Q1,Democrats,Josh Gottheimer,INTA,sale,"$15,000.00",15000.0,8.7420327425272,2025-01-17
2025-Q1,Democrats,Josh Gottheimer,PANW,sale,"$15,000.00",15000.0,0.8863622492009943,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,MA,sale,"$15,000.00",15000.0,-6.483711952106249,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,GOOG,sale,"$15,000.00",15000.0,16.11544032661132,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,NVDA,sale,"$15,000.00",15000.0,19.618977906305783,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,META,sale,"$15,000.00",15000.0,1.3710321653282431,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,TDG,sale,"$15,000.00",15000.0,-6.632462355871587,2025-01-16
2025-Q1,Democrats,Josh Gottheimer,MSFT,sale,"$15,000.00",15000.0,8.709320244450609,2025-01-16
2025-Q1,Democrats,Jared Moskowitz,MRK,sale,"$15,000.00",15000.0,11.7314874905638,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,ABT,sale,"$15,000.00",15000.0,-17.119932515744342,2025-01-15
2025-Q1,Democrats,Julie Johnson,MRNA,sale,"$15,000.00",15000.0,8.698127762212723,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,ABT,sale,"$15,000.00",15000.0,-17.119932515744342,2025-01-15
2025-Q1,Democrats,Julie Johnson,AMT,sale,"$15,000.00",15000.0,-16.294479618096684,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,ABT,sale,"$15,000.00",15000.0,-17.119932515744342,2025-01-15
2025-Q1,Democrats,Julie Johnson,CAG,sale,"$15,000.00",15000.0,-2.971885296117263,2025-01-15
2025-Q1,Democrats,Jared Moskowitz,CNI,sale,"$15,000.00",15000.0,1.7045972647090242,2025-01-15
2025-Q1,Democrats,Julie Johnson,CSGP,sale,"$15,000.00",15000.0,-12.637050802502063,2025-01-15
